Abdullah      A19EE0180 A B A D A C C D A B C D A D C D A B C D
LuDong        A19EE0160 A B D D A C B D D B C A A D C D A B C D
Syarifah      AC12CS678 A A D C B C D D A B C C A A C D A D C D
Sivarajah     AC12CS123 C B C B A C C D B B C C A B C D C C C D
Wendy         B19EE0167 A C C D A B C C A A C D A A A D A B C D
Chee Lee      A22EE0001 A C B D A B C C D A C D A B A D A B C D
Mani Gaming   A22EE0002 A C C D A B C C A A C D A A A D A B C D
Mahatir Mus   A22EE0003 A B D D A C B D D B C A A D C D A B C D
Cik Suhaimi   A22EE0004 A B C D A B C D A B C D A B C D A B C D
Harpie        A22EE0005 A C B D A B C C D A C D A B A D A B C D
Mei Mei       A22EE0006 A B A D A C C D A B C D A D C D A B C D
Honda Citi    A22EE0007 A C C D A B C C A A C D A A A D A B C D
Siti Islam    A22EE0008 A B C D A B C D A B C D A B C D A B C D
Ho Chi Minh   A22EE0009 A B A D A C C D A B C D A D C D A B C D
Faker         A22EE0010 A B D D A C B D D B C A A D C D A B C D
Jonas         A22EE0011 A B A D A C C D A B C D A D C D A B C D
Jing Ying Ooi A22EE0012 A B C D A B C D A B C D A B C D A B C D
Asriel        A22EE0013 C B C B A C C D B B C C A B C D C C A B
Goku          A22EE0014 A B C A A B C D A B C D A B C D A C C A
Marcus Chin   A22EE0015 A B C D A C C D B B C C A B C D A C A D
Kepler        A22EE0016 A B C D A C C D B B C C A B C D A C A D
Johnson Bush  A22EE0017 A C C D A B C C A A C D A A A D A B D A
Van der Lcq   A22EE0018 A B C D A C C D B B C C A B C D A C A D
Ricardo Milas A22EE0019 A B C D A B C D A B C D A B C D A B C D
MingLee       A22EE0020 A B C D A B C D A B C D A B C D A B C D
Sans Gaster   A22EE0021 A B C D A B C D A B C D A B C D A B C D
The Dumb Guy  A22EE0022 D D D D D D D D D D D D D D D D D D D D
